year,state,country,shape,duration,latitude,longtitude
2013,Massachusetts,us,fireball,60,42.4736111,-72.0066667
2013,Georgia,us,light,300,33.5966667,-83.8602778
2013,Ohio,us,sphere,180,39.7463889,-84.2866667
2013,New York,us,chevron,90,43.0297222,-76.0047222
2013,Florida,us,light,900,26.9338889,-80.0944444
2013,Florida,us,sphere,300,28.0833333,-80.6083333
2013,Wisconsin,us,sphere,60,45.3561111,-92.6333333
2013,Illinois,us,formation,60,41.8800000,-88.0077778
2013,Ohio,us,fireball,10,40.8758333,-81.4025000
2013,Michigan,us,fireball,2,42.4566667,-83.9463889
1950,Kentucky,us,disk,600,37.4791667,-82.5188889
1952,Missouri,us,disk,90,39.0997222,-94.5783333
1954,West Virginia,us,circle,60,38.7230556,-80.6500000
1956,New Hampshire,us,rectangle,300,43.3652778,-72.1738889
1957,Alaska,us,unknown,180,61.9919444,-146.7686111
1957,New Jersey,us,disk,10,40.9166667,-74.1722222
1959,Illinois,us,unknown,60,39.7338889,-90.2288889
1961,Ohio,us,sphere,180,41.6638889,-83.5552778
1961,Oklahoma,us,disk,120,36.1538889,-95.9925000
1961,Tennessee,us,disk,1800,36.1658333,-86.7844444
1961,North Carolina,us,triangle,30,36.0688889,-79.4008333
1965,Mississippi,us,other,900,30.3958333,-88.8852778
1965,Virginia,us,sphere,120,37.2438889,-77.4105556
1965,Pennsylvania,us,disk,300,41.5241667,-76.4011111
1966,New York,us,light,240,42.8863889,-78.8786111
1966,Washington,us,light,1200,48.5127778,-122.6113889
1966,Iowa,us,unknown,60,42.1083333,-91.2850000
1966,Oregon,us,disk,120,44.5647222,-123.2608333
1967,New York,us,sphere,600,42.5680556,-78.4791667
1967,Illinois,us,circle,30,38.8922222,-89.4130556
1967,Minnesota,us,disk,10,44.9800000,-93.2636111
1968,Massachusetts,us,cigar,1200,42.3583333,-71.0602778
1968,Maine,us,circle,600,43.3616667,-70.4772222
1969,California,us,oval,600,37.7750000,-122.4183333
1970,New York,us,disk,180,40.7141667,-74.0063889
1970,Arkansas,us,other,14400,36.3727778,-94.2086111
1970,Florida,us,other,900,27.9472222,-82.4586111
1970,New York,us,disk,300,40.7141667,-74.0063889
1971,California,us,disk,180,34.1477778,-118.1436111
1972,Kansas,us,unknown,10800,37.9388889,-97.0194444
1972,Texas,us,unknown,600,33.2147222,-97.1327778
1972,Texas,us,disk,1800,31.6261111,-97.5997222
1972,Washington,us,rectangle,900,47.8555556,-121.9697222
1973,Indiana,us,sphere,900,39.7927778,-87.3708333
1973,Virginia,us,disk,1800,36.8527778,-75.9783333
1973,Indiana,us,light,1200,39.1652778,-86.5263889
1973,Oregon,us,cylinder,7200,43.2166667,-123.3405556
1973,Nevada,us,disk,7200,36.9086111,-116.7583333
1973,Tennessee,us,oval,37800,35.1405556,-85.2327778
1973,Ohio,us,disk,300,41.2377778,-81.9316667
1974,Texas,us,unknown,600,33.2147222,-97.1327778
1974,West Virginia,us,sphere,240,40.4188889,-80.5897222
1974,Minnesota,us,unknown,2,46.4736111,-93.8986111
1974,New Jersey,us,light,600,40.7841667,-74.6972222
1975,Arizona,us,changing,1200,33.0580556,-112.0469444
1976,Ohio,us,disk,120,40.9636111,-81.3313889
1976,New York,us,disk,600,43.0986111,-77.4422222
1976,Florida,us,disk,900,28.0611111,-82.3025000
1977,California,us,other,360,33.7091667,-117.9527778
1977,California,us,other,60,40.5763889,-124.2627778
1978,North Carolina,us,cone,300,35.9983333,-76.9463889
1978,Louisiana,us,disk,300,31.0944444,-92.4002778
1978,Indiana,us,cylinder,900,40.9852778,-86.8794444
1979,California,us,disk,1200,33.7922222,-118.3141667
1979,Maryland,us,rectangle,120,39.2402778,-76.8397222
1979,New York,us,light,10,42.8863889,-78.8786111
1979,Washington,us,disk,7200,47.0380556,-122.8994444
1979,Pennsylvania,us,disk,300,40.4405556,-79.9961111
1979,New Jersey,us,light,240,40.3161111,-74.5141667
1980,California,us,other,30,37.5483333,-121.9875000
1980,Alabama,us,fireball,20,34.1469444,-86.1305556
1980,Pennsylvania,us,formation,600,40.2977778,-77.8744444
1980,New Jersey,us,cigar,180,40.7280556,-74.0780556
1981,Michigan,us,oval,2400,43.5688889,-86.0394444
1982,Michigan,us,fireball,240,42.9572222,-83.8305556
1983,Massachusetts,us,unknown,20,42.5611111,-71.5902778
1983,North Carolina,us,disk,180,35.8966667,-77.5361111
1984,Oregon,us,light,600,44.4269444,-124.0675000
1984,California,us,light,45,34.2572222,-118.6002778
1984,Maine,us,triangle,180,43.5341667,-70.9102778
1985,Florida,us,triangle,900,27.9375000,-82.2861111
1985,Michigan,us,light,240,43.4133333,-86.0794444
1985,North Carolina,us,sphere,300,34.9852778,-80.5497222
1985,Ohio,us,triangle,3600,41.7386111,-80.7700000
1985,Kansas,us,sphere,300,38.9716667,-95.2350000
1986,Oregon,us,circle,2700,42.2250000,-121.7805556
1986,West Virginia,us,light,10,40.0638889,-80.7211111
1987,Florida,us,other,10,26.7052778,-80.0366667
1987,Oregon,us,oval,1800,43.2166667,-123.3405556
